model,file,machine,n_q,enum,cost
openai/gpt-5-mini,AA_86da0dbc-4ece-4ee,1,6,1.0,0.00483675
openai/gpt-5-mini,AA_d897830f-bbaa-44d,2,4,5.0,0.002673
openai/gpt-5-mini,AA_aa8eabb8-8f23-448,2,6,5.0,0.005299
openai/gpt-5-mini,AA_12d53cb2-6597-40c,3,5,6.0,0.002119
openai/gpt-5-mini,AA_5d2c0d0d-94a3-4cd,4,6,5.0,0.00258625
openai/gpt-5-mini,AA_48d71665-bb15-401,3,6,4.0,0.004074
openai/gpt-5-mini,AA_063c4da1-14ee-4c6,5,7,5.0,0.00410375
openai/gpt-5-mini,AA_8d152f25-5b3e-4b3,2,4,2.0,0.00185425
openai/gpt-5-mini,AA_7383689c-5655-418,0,6,5.0,0.00200325
openai/gpt-5-mini,AA_4f99136d-8961-4e8,0,5,0.0,0.0019295
openai/gpt-5-mini,AA_be2450d2-2128-493,0,6,2.0,0.00223975
openai/gpt-5-mini,AA_1972026f-6357-47c,0,6,4.0,0.00146775
openai/gpt-5-mini,AA_e2237f3f-eb26-4b7,5,6,6.0,0.00326125
openai/gpt-5-mini,AA_a37dfa4b-5be9-4b9,4,6,3.0,0.00444225
openai/gpt-5-mini,AA_eb34954f-5621-459,4,6,5.0,0.00293375
openai/gpt-5-mini,AA_2a65f1d9-b974-45b,4,6,4.0,0.003225
openai/gpt-5-mini,AA_91ecf22b-d335-4de,5,6,6.0,0.00158675
openai/gpt-5-mini,AA_bc78193f-3d1b-4a1,0,3,1.0,0.0025275
openai/gpt-5-mini,AA_9d92617a-c53f-43e,5,6,5.0,0.00304725
openai/gpt-5-mini,AA_99ab36ed-ed68-4e9,1,5,5.0,0.0025505
openai/gpt-5-mini,AA_d499cff8-38a9-4eb,6,6,6.0,0.0019645
openai/gpt-5-mini,AA_7ad7b97a-d69d-416,3,5,3.0,0.00238775
openai/gpt-5-mini,AA_e88f0436-95cb-4a0,0,6,2.0,0.003313
openai/gpt-5-mini,AA_bc0e09c8-aae5-466,3,5,6.0,0.0032435
openai/gpt-5-mini,AA_55913fb1-5a12-42a,5,6,5.0,0.0027255
openai/gpt-5-mini,AA_b47c2091-d93e-49d,4,6,5.0,0.00457225
openai/gpt-5-mini,AA_bf842fbd-d0b6-48f,2,5,4.0,0.00412875
openai/gpt-5-mini,AA_bd035dbb-e421-480,2,6,4.0,0.00431625
anthropic/claude-sonnet-5,AA_2958d924-08be-406,5,6,5.0,0.006554
anthropic/claude-sonnet-5,AA_27e407f8-7dc7-428,3,6,4.0,0.010488
anthropic/claude-sonnet-5,AA_94917b5c-07a6-4c5,1,6,1.0,0.008478
anthropic/claude-sonnet-5,AA_810c50e0-1c11-44b,1,5,2.0,0.006462
anthropic/claude-sonnet-5,AA_f9d06535-01d9-432,0,5,1.0,0.00818
anthropic/claude-sonnet-5,AA_398f7981-c4b7-4fd,0,6,0.0,0.008318
anthropic/claude-sonnet-5,AA_e87962ab-1398-4ca,0,6,1.0,0.010176
anthropic/claude-sonnet-5,AA_7e0f11d6-0031-492,4,6,4.0,0.007548
anthropic/claude-sonnet-5,AA_44e68d46-79a6-402,4,6,5.0,0.010706
anthropic/claude-sonnet-5,AA_ba957417-5e7b-491,1,5,1.0,0.01484
anthropic/claude-sonnet-5,AA_5dce002b-57cd-4c9,5,6,5.0,0.009272
anthropic/claude-sonnet-5,AA_93ae4640-bf92-45b,3,6,4.0,0.01321
anthropic/claude-sonnet-5,AA_eb127efb-92a9-4eb,1,4,5.0,0.008692
anthropic/claude-sonnet-5,AA_9fd3b07d-cb1e-42b,4,6,6.0,0.01193
anthropic/claude-sonnet-5,AA_98d3878d-7611-485,3,5,3.0,0.011458
anthropic/claude-sonnet-5,AA_dff96b36-bded-45d,1,6,2.0,0.00814
anthropic/claude-sonnet-5,AA_4e25386a-f7bc-4a1,3,6,4.0,0.0088
anthropic/claude-sonnet-5,AA_34eb5079-1c89-41d,1,6,4.0,0.007514
anthropic/claude-sonnet-5,AA_e323a748-9ded-40c,3,6,3.0,0.007734
anthropic/claude-sonnet-5,AA_271887cf-1b78-4ce,1,6,0.0,0.017772
anthropic/claude-sonnet-5,AA_5e864c07-25df-4cc,4,6,5.0,0.017384
anthropic/claude-sonnet-5,AA_268319c5-6f94-4a8,2,6,1.0,0.017326
anthropic/claude-sonnet-5,AA_a8eef4b9-ab7b-48d,0,5,0.0,0.00496
anthropic/claude-sonnet-5,AA_df7b47e1-1bc3-45c,4,6,6.0,0.009384
anthropic/claude-sonnet-5,AA_86da0dbc-4ece-4ee,1,6,1.0,0.025502
anthropic/claude-sonnet-5,AA_d897830f-bbaa-44d,3,5,5.0,0.01204
anthropic/claude-sonnet-5,AA_aa8eabb8-8f23-448,2,6,5.0,0.010092
anthropic/claude-sonnet-5,AA_12d53cb2-6597-40c,3,5,6.0,0.007406
anthropic/claude-sonnet-5,AA_5d2c0d0d-94a3-4cd,4,6,5.0,0.00847
anthropic/claude-sonnet-5,AA_48d71665-bb15-401,4,6,4.0,0.007984
anthropic/claude-sonnet-5,AA_063c4da1-14ee-4c6,5,6,5.0,0.027626
anthropic/claude-sonnet-5,AA_8d152f25-5b3e-4b3,1,4,2.0,0.007302
anthropic/claude-sonnet-5,AA_7383689c-5655-418,0,5,5.0,0.028646
anthropic/claude-sonnet-5,AA_4f99136d-8961-4e8,0,5,0.0,0.021272
anthropic/claude-sonnet-5,AA_be2450d2-2128-493,1,6,2.0,0.013948
anthropic/claude-sonnet-5,AA_1972026f-6357-47c,0,6,4.0,0.005296
anthropic/claude-sonnet-5,AA_e2237f3f-eb26-4b7,5,6,6.0,0.00997
anthropic/claude-sonnet-5,AA_a37dfa4b-5be9-4b9,3,6,3.0,0.01513
anthropic/claude-sonnet-5,AA_eb34954f-5621-459,5,6,5.0,0.013758
anthropic/claude-sonnet-5,AA_2a65f1d9-b974-45b,4,6,4.0,0.018676
anthropic/claude-sonnet-5,AA_91ecf22b-d335-4de,5,6,6.0,0.007804
anthropic/claude-sonnet-5,AA_bc78193f-3d1b-4a1,0,3,1.0,0.018886
anthropic/claude-sonnet-5,AA_9d92617a-c53f-43e,4,6,5.0,0.013446
anthropic/claude-sonnet-5,AA_99ab36ed-ed68-4e9,1,5,5.0,0.009066
anthropic/claude-sonnet-5,AA_d499cff8-38a9-4eb,6,6,6.0,0.0102
anthropic/claude-sonnet-5,AA_7ad7b97a-d69d-416,3,5,3.0,0.010684
anthropic/claude-sonnet-5,AA_e88f0436-95cb-4a0,0,6,2.0,0.021428
anthropic/claude-sonnet-5,AA_bc0e09c8-aae5-466,4,5,6.0,0.01326
anthropic/claude-sonnet-5,AA_55913fb1-5a12-42a,5,5,5.0,0.009436
anthropic/claude-sonnet-5,AA_b47c2091-d93e-49d,4,6,5.0,0.008076
anthropic/claude-sonnet-5,AA_bf842fbd-d0b6-48f,2,5,4.0,0.008934
anthropic/claude-sonnet-5,AA_bd035dbb-e421-480,2,7,4.0,0.019514
google/gemini-3-flash-preview,AA_2958d924-08be-406,5,6,5.0,0.001284
google/gemini-3-flash-preview,AA_27e407f8-7dc7-428,3,6,4.0,0.001158
google/gemini-3-flash-preview,AA_94917b5c-07a6-4c5,1,6,1.0,0.0012445
google/gemini-3-flash-preview,AA_810c50e0-1c11-44b,1,5,2.0,0.001019
google/gemini-3-flash-preview,AA_f9d06535-01d9-432,0,5,1.0,0.001121
google/gemini-3-flash-preview,AA_398f7981-c4b7-4fd,0,6,0.0,0.00123
google/gemini-3-flash-preview,AA_e87962ab-1398-4ca,1,6,1.0,0.001256
google/gemini-3-flash-preview,AA_7e0f11d6-0031-492,4,6,4.0,0.001237
google/gemini-3-flash-preview,AA_44e68d46-79a6-402,4,7,5.0,0.001365
google/gemini-3-flash-preview,AA_ba957417-5e7b-491,1,5,1.0,0.0012035
google/gemini-3-flash-preview,AA_5dce002b-57cd-4c9,5,6,5.0,0.001346
google/gemini-3-flash-preview,AA_93ae4640-bf92-45b,5,6,4.0,0.0012705
google/gemini-3-flash-preview,AA_aef46179-5917-4dd,1,6,0.0,0.001174
google/gemini-3-flash-preview,AA_eb127efb-92a9-4eb,1,4,5.0,0.0008785
google/gemini-3-flash-preview,AA_9fd3b07d-cb1e-42b,5,6,6.0,0.0013255
google/gemini-3-flash-preview,AA_98d3878d-7611-485,4,5,3.0,0.001153
google/gemini-3-flash-preview,AA_dff96b36-bded-45d,1,6,2.0,0.0011845
google/gemini-3-flash-preview,AA_4e25386a-f7bc-4a1,3,6,4.0,0.0012345
google/gemini-3-flash-preview,AA_34eb5079-1c89-41d,1,6,4.0,0.001143
google/gemini-3-flash-preview,AA_e323a748-9ded-40c,3,6,3.0,0.0011875
google/gemini-3-flash-preview,AA_271887cf-1b78-4ce,1,6,0.0,0.001256
google/gemini-3-flash-preview,AA_5e864c07-25df-4cc,4,6,5.0,0.0013515
google/gemini-3-flash-preview,AA_268319c5-6f94-4a8,2,6,1.0,0.0012395
google/gemini-3-flash-preview,AA_a8eef4b9-ab7b-48d,0,5,0.0,0.0009565
google/gemini-3-flash-preview,AA_df7b47e1-1bc3-45c,6,6,6.0,0.001376
google/gemini-3-flash-preview,AA_86da0dbc-4ece-4ee,1,6,1.0,0.0012595
google/gemini-3-flash-preview,AA_d897830f-bbaa-44d,3,5,5.0,0.0010115
google/gemini-3-flash-preview,AA_aa8eabb8-8f23-448,2,6,5.0,0.00121
google/gemini-3-flash-preview,AA_12d53cb2-6597-40c,3,5,6.0,0.0010905
google/gemini-3-flash-preview,AA_5d2c0d0d-94a3-4cd,5,6,5.0,0.001204
google/gemini-3-flash-preview,AA_48d71665-bb15-401,5,6,4.0,0.001212
google/gemini-3-flash-preview,AA_063c4da1-14ee-4c6,5,6,5.0,0.001293
google/gemini-3-flash-preview,AA_8d152f25-5b3e-4b3,1,4,2.0,0.0009455
google/gemini-3-flash-preview,AA_7383689c-5655-418,0,6,5.0,0.0013095
google/gemini-3-flash-preview,AA_4f99136d-8961-4e8,0,5,0.0,0.0009945
google/gemini-3-flash-preview,AA_be2450d2-2128-493,0,6,2.0,0.001134
google/gemini-3-flash-preview,AA_1972026f-6357-47c,0,6,4.0,0.0011755
google/gemini-3-flash-preview,AA_e2237f3f-eb26-4b7,5,6,6.0,0.0013445
google/gemini-3-flash-preview,AA_a37dfa4b-5be9-4b9,4,6,3.0,0.00126
google/gemini-3-flash-preview,AA_eb34954f-5621-459,5,6,5.0,0.00128
google/gemini-3-flash-preview,AA_2a65f1d9-b974-45b,5,6,4.0,0.001266
google/gemini-3-flash-preview,AA_91ecf22b-d335-4de,5,6,6.0,0.0012605
google/gemini-3-flash-preview,AA_bc78193f-3d1b-4a1,2,4,1.0,0.000835
google/gemini-3-flash-preview,AA_9d92617a-c53f-43e,5,6,5.0,0.0012865
google/gemini-3-flash-preview,AA_99ab36ed-ed68-4e9,1,5,5.0,0.0011005
google/gemini-3-flash-preview,AA_d499cff8-38a9-4eb,6,6,6.0,0.0013145
google/gemini-3-flash-preview,AA_7ad7b97a-d69d-416,3,5,3.0,0.001028
google/gemini-3-flash-preview,AA_e88f0436-95cb-4a0,0,6,2.0,0.0015855
google/gemini-3-flash-preview,AA_bc0e09c8-aae5-466,6,6,6.0,0.001261
google/gemini-3-flash-preview,AA_55913fb1-5a12-42a,5,6,5.0,0.0011955
google/gemini-3-flash-preview,AA_b47c2091-d93e-49d,4,6,5.0,0.0013315
google/gemini-3-flash-preview,AA_bf842fbd-d0b6-48f,2,5,4.0,0.001143
google/gemini-3-flash-preview,AA_bd035dbb-e421-480,4,6,4.0,0.0012745
google/gemini-2.5-flash-lite,AA_2958d924-08be-406,5,6,5.0,0.0001906
google/gemini-2.5-flash-lite,AA_27e407f8-7dc7-428,4,6,4.0,0.000171
google/gemini-2.5-flash-lite,AA_94917b5c-07a6-4c5,1,6,1.0,0.0001885
google/gemini-2.5-flash-lite,AA_810c50e0-1c11-44b,5,6,2.0,0.000145
google/gemini-2.5-flash-lite,AA_f9d06535-01d9-432,4,6,1.0,0.0001962
google/gemini-2.5-flash-lite,AA_398f7981-c4b7-4fd,6,6,0.0,0.000188
google/gemini-2.5-flash-lite,AA_e87962ab-1398-4ca,1,6,1.0,0.000187
google/gemini-2.5-flash-lite,AA_7e0f11d6-0031-492,5,6,4.0,0.0001836
google/gemini-2.5-flash-lite,AA_44e68d46-79a6-402,4,6,5.0,0.0001848
google/gemini-2.5-flash-lite,AA_ba957417-5e7b-491,4,6,1.0,0.0002017
google/gemini-2.5-flash-lite,AA_5dce002b-57cd-4c9,5,6,5.0,0.0001442
google/gemini-2.5-flash-lite,AA_93ae4640-bf92-45b,5,6,4.0,0.0001559
google/gemini-2.5-flash-lite,AA_aef46179-5917-4dd,6,6,0.0,0.0001736
google/gemini-2.5-flash-lite,AA_eb127efb-92a9-4eb,2,6,5.0,0.0001731
google/gemini-2.5-flash-lite,AA_9fd3b07d-cb1e-42b,4,6,6.0,0.0001941
google/gemini-2.5-flash-lite,AA_98d3878d-7611-485,3,6,3.0,0.0001926
google/gemini-2.5-flash-lite,AA_dff96b36-bded-45d,1,6,2.0,0.0001783
google/gemini-2.5-flash-lite,AA_4e25386a-f7bc-4a1,3,6,4.0,0.0001837
google/gemini-2.5-flash-lite,AA_34eb5079-1c89-41d,6,6,4.0,0.0001272
google/gemini-2.5-flash-lite,AA_e323a748-9ded-40c,3,6,3.0,0.0001773
google/gemini-2.5-flash-lite,AA_271887cf-1b78-4ce,4,6,0.0,0.0001826
google/gemini-2.5-flash-lite,AA_5e864c07-25df-4cc,4,6,5.0,0.0001675
google/gemini-2.5-flash-lite,AA_268319c5-6f94-4a8,5,6,1.0,0.0001865
google/gemini-2.5-flash-lite,AA_a8eef4b9-ab7b-48d,5,6,0.0,0.0001643
google/gemini-2.5-flash-lite,AA_df7b47e1-1bc3-45c,6,6,6.0,0.0001486
google/gemini-2.5-flash-lite,AA_86da0dbc-4ece-4ee,2,6,1.0,0.0001867
google/gemini-2.5-flash-lite,AA_d897830f-bbaa-44d,6,6,5.0,0.0001741
google/gemini-2.5-flash-lite,AA_aa8eabb8-8f23-448,6,6,5.0,0.0001796
google/gemini-2.5-flash-lite,AA_12d53cb2-6597-40c,3,6,6.0,0.0001839
google/gemini-2.5-flash-lite,AA_5d2c0d0d-94a3-4cd,5,6,5.0,0.0001776
google/gemini-2.5-flash-lite,AA_48d71665-bb15-401,5,6,4.0,0.0001454
google/gemini-2.5-flash-lite,AA_063c4da1-14ee-4c6,5,6,5.0,0.0001972
google/gemini-2.5-flash-lite,AA_8d152f25-5b3e-4b3,3,6,2.0,0.0001537
google/gemini-2.5-flash-lite,AA_7383689c-5655-418,1,6,5.0,0.0001923
google/gemini-2.5-flash-lite,AA_4f99136d-8961-4e8,5,6,0.0,0.0001725
google/gemini-2.5-flash-lite,AA_be2450d2-2128-493,5,6,2.0,0.000179
google/gemini-2.5-flash-lite,AA_1972026f-6357-47c,6,6,4.0,0.0001831
google/gemini-2.5-flash-lite,AA_e2237f3f-eb26-4b7,6,6,6.0,0.0002001
google/gemini-2.5-flash-lite,AA_a37dfa4b-5be9-4b9,3,6,3.0,0.0001872
google/gemini-2.5-flash-lite,AA_eb34954f-5621-459,5,6,5.0,0.0001848
google/gemini-2.5-flash-lite,AA_2a65f1d9-b974-45b,5,6,4.0,0.0001836
google/gemini-2.5-flash-lite,AA_91ecf22b-d335-4de,5,6,6.0,0.0001849
google/gemini-2.5-flash-lite,AA_bc78193f-3d1b-4a1,4,6,1.0,0.0001666
google/gemini-2.5-flash-lite,AA_9d92617a-c53f-43e,5,6,5.0,0.0001375
google/gemini-2.5-flash-lite,AA_99ab36ed-ed68-4e9,1,6,5.0,0.0001833
google/gemini-2.5-flash-lite,AA_d499cff8-38a9-4eb,6,6,6.0,0.0001933
google/gemini-2.5-flash-lite,AA_7ad7b97a-d69d-416,4,6,3.0,0.0001768
google/gemini-2.5-flash-lite,AA_e88f0436-95cb-4a0,0,6,2.0,0.0002323
google/gemini-2.5-flash-lite,AA_bc0e09c8-aae5-466,6,6,6.0,0.0001876
google/gemini-2.5-flash-lite,AA_55913fb1-5a12-42a,5,6,5.0,0.0001289
google/gemini-2.5-flash-lite,AA_b47c2091-d93e-49d,5,6,5.0,0.0001645
google/gemini-2.5-flash-lite,AA_bf842fbd-d0b6-48f,5,6,4.0,0.0001868
google/gemini-2.5-flash-lite,AA_bd035dbb-e421-480,3,6,4.0,0.0001873
deepseek/deepseek-v3.2,AA_2958d924-08be-406,5,6,5.0,0.000310982
deepseek/deepseek-v3.2,AA_27e407f8-7dc7-428,2,6,4.0,0.000202917
deepseek/deepseek-v3.2,AA_94917b5c-07a6-4c5,1,6,1.0,0.0003065
deepseek/deepseek-v3.2,AA_810c50e0-1c11-44b,1,5,2.0,0.00024066
deepseek/deepseek-v3.2,AA_f9d06535-01d9-432,0,5,1.0,0.00032388
deepseek/deepseek-v3.2,AA_398f7981-c4b7-4fd,0,6,0.0,0.00028452
deepseek/deepseek-v3.2,AA_e87962ab-1398-4ca,0,6,1.0,0.0001732302
deepseek/deepseek-v3.2,AA_7e0f11d6-0031-492,3,6,4.0,0.0001936077
deepseek/deepseek-v3.2,AA_44e68d46-79a6-402,3,7,5.0,0.0001968252
deepseek/deepseek-v3.2,AA_ba957417-5e7b-491,1,5,1.0,0.00020315295
deepseek/deepseek-v3.2,AA_5dce002b-57cd-4c9,5,6,5.0,0.00022117095
deepseek/deepseek-v3.2,AA_93ae4640-bf92-45b,4,6,4.0,0.0002056197
deepseek/deepseek-v3.2,AA_aef46179-5917-4dd,1,6,0.0,0.00015617745
deepseek/deepseek-v3.2,AA_eb127efb-92a9-4eb,1,4,5.0,0.000113256
deepseek/deepseek-v3.2,AA_9fd3b07d-cb1e-42b,4,6,6.0,0.00020915895
deepseek/deepseek-v3.2,AA_98d3878d-7611-485,2,5,3.0,0.00018813795
deepseek/deepseek-v3.2,AA_dff96b36-bded-45d,1,6,2.0,0.00016947645
deepseek/deepseek-v3.2,AA_4e25386a-f7bc-4a1,2,6,4.0,0.0001962675
deepseek/deepseek-v3.2,AA_34eb5079-1c89-41d,1,6,4.0,0.0001549977
deepseek/deepseek-v3.2,AA_e323a748-9ded-40c,3,6,3.0,0.00017483895
deepseek/deepseek-v3.2,AA_271887cf-1b78-4ce,1,6,0.0,0.0001882452
deepseek/deepseek-v3.2,AA_5e864c07-25df-4cc,4,6,5.0,0.00021838245
deepseek/deepseek-v3.2,AA_268319c5-6f94-4a8,0,6,1.0,0.00019092645
deepseek/deepseek-v3.2,AA_a8eef4b9-ab7b-48d,4,5,0.0,0.00013858845
deepseek/deepseek-v3.2,AA_df7b47e1-1bc3-45c,4,6,6.0,0.0002000427
deepseek/deepseek-v3.2,AA_86da0dbc-4ece-4ee,1,6,1.0,0.0001925352
deepseek/deepseek-v3.2,AA_d897830f-bbaa-44d,2,5,5.0,0.00013236795
deepseek/deepseek-v3.2,AA_aa8eabb8-8f23-448,2,6,5.0,0.00019114095
deepseek/deepseek-v3.2,AA_12d53cb2-6597-40c,3,5,6.0,0.0001770912
deepseek/deepseek-v3.2,AA_5d2c0d0d-94a3-4cd,4,6,5.0,0.00017290845
deepseek/deepseek-v3.2,AA_48d71665-bb15-401,4,6,4.0,0.00017376645
deepseek/deepseek-v3.2,AA_063c4da1-14ee-4c6,5,6,5.0,0.00021280545
deepseek/deepseek-v3.2,AA_8d152f25-5b3e-4b3,1,4,2.0,0.00014360775
deepseek/deepseek-v3.2,AA_7383689c-5655-418,0,6,5.0,0.00020486895
deepseek/deepseek-v3.2,AA_4f99136d-8961-4e8,0,5,0.0,0.00014116245
deepseek/deepseek-v3.2,AA_be2450d2-2128-493,4,6,2.0,0.0001785927
deepseek/deepseek-v3.2,AA_1972026f-6357-47c,6,6,4.0,0.00016827525
deepseek/deepseek-v3.2,AA_e2237f3f-eb26-4b7,5,6,6.0,0.00023232495
deepseek/deepseek-v3.2,AA_a37dfa4b-5be9-4b9,2,6,3.0,0.00018135975
deepseek/deepseek-v3.2,AA_eb34954f-5621-459,4,6,5.0,0.0001963962
deepseek/deepseek-v3.2,AA_2a65f1d9-b974-45b,5,6,4.0,0.0001850277
deepseek/deepseek-v3.2,AA_91ecf22b-d335-4de,5,6,6.0,0.00019264245
deepseek/deepseek-v3.2,AA_bc78193f-3d1b-4a1,0,4,1.0,0.00010877295
deepseek/deepseek-v3.2,AA_9d92617a-c53f-43e,5,6,5.0,0.00021473595
deepseek/deepseek-v3.2,AA_99ab36ed-ed68-4e9,1,6,5.0,0.0002004717
deepseek/deepseek-v3.2,AA_d499cff8-38a9-4eb,6,6,6.0,0.0002109822
deepseek/deepseek-v3.2,AA_7ad7b97a-d69d-416,3,5,3.0,0.0001569282
deepseek/deepseek-v3.2,AA_e88f0436-95cb-4a0,0,6,2.0,0.0002706132
deepseek/deepseek-v3.2,AA_bc0e09c8-aae5-466,4,5,6.0,0.00018277545
deepseek/deepseek-v3.2,AA_55913fb1-5a12-42a,5,6,5.0,0.00017569695
deepseek/deepseek-v3.2,AA_b47c2091-d93e-49d,4,6,5.0,0.00022546095
deepseek/deepseek-v3.2,AA_bf842fbd-d0b6-48f,2,5,4.0,0.00019264245
deepseek/deepseek-v3.2,AA_bd035dbb-e421-480,3,7,4.0,0.0002146287
